trial, do nothing steps, advanced win, one-step win, random win, advanced score, one step scores, random score
0,1000.0,true,true,false,2.0,2.0,-1.0
1,1000.0,true,true,false,2.0,2.0,0.0
2,1000.0,true,true,false,2.0,2.0,-1.0
3,1000.0,true,true,false,2.0,2.0,-1.0
4,1000.0,true,true,true,2.0,2.0,2.0
