trial, do nothing steps, advanced win, one-step win, random win, advanced score, one step scores, random score
0,0.0,false,false,false,0.0,0.0,0.0
1,0.0,false,false,false,0.0,0.0,0.0
2,0.0,false,false,false,0.0,0.0,0.0
3,0.0,false,false,false,0.0,0.0,0.0
4,0.0,false,false,false,0.0,0.0,0.0
