trial, do nothing steps, advanced win, advanced score, one step scores, random score
0,400.0,true,1.0,1.0,1.0
1,400.0,true,1.0,1.0,1.0
2,400.0,true,1.0,1.0,1.0
3,400.0,true,1.0,1.0,1.0
4,400.0,true,1.0,0.0,1.0
5,400.0,true,1.0,0.0,1.0
6,400.0,true,1.0,1.0,1.0
7,400.0,true,1.0,1.0,1.0
8,400.0,true,1.0,0.0,1.0
9,400.0,true,1.0,1.0,1.0
