trial, do nothing steps, advanced win, advanced score, one step scores, random score
0,770.0,true,1.0,1.0,1.0
1,770.0,true,1.0,1.0,1.0
2,770.0,true,1.0,1.0,1.0
3,770.0,true,1.0,1.0,1.0
4,770.0,false,0.0,0.0,1.0
5,770.0,true,1.0,1.0,1.0
6,770.0,false,0.0,0.0,1.0
7,770.0,true,1.0,1.0,1.0
8,770.0,true,1.0,1.0,1.0
9,770.0,true,1.0,1.0,1.0
