trial, do nothing steps, advanced win, one-step win, random win, advanced score, one step scores, random score
0,173.0,false,false,false,12.0,2.0,7.0
1,173.0,false,false,false,17.0,11.0,4.0
2,173.0,false,false,false,17.0,10.0,9.0
3,173.0,false,false,false,20.0,3.0,3.0
4,173.0,false,false,false,20.0,9.0,2.0
