trial, do nothing steps, advanced win, advanced score, one step scores, random score
0,591.0,true,62.0,53.0,57.0
1,591.0,true,61.0,52.0,59.0
2,591.0,true,62.0,57.0,59.0
3,591.0,true,61.0,47.0,28.0
4,591.0,true,61.0,52.0,59.0
5,591.0,true,61.0,26.0,22.0
6,591.0,true,62.0,54.0,62.0
7,591.0,true,62.0,55.0,55.0
8,591.0,true,62.0,53.0,58.0
9,591.0,true,62.0,53.0,56.0
