trial, do nothing steps, advanced win, advanced score, one step scores, random score
0,596.0,true,104.0,88.0,36.0
1,596.0,true,104.0,93.0,95.0
2,596.0,true,101.0,79.0,51.0
3,596.0,true,106.0,92.0,64.0
4,596.0,true,104.0,89.0,7.0
5,596.0,true,104.0,92.0,92.0
6,596.0,true,104.0,88.0,61.0
7,596.0,true,101.0,92.0,26.0
8,596.0,true,101.0,85.0,69.0
9,596.0,true,102.0,81.0,70.0
