game, level, playable, do nothing steps, advanced wins, one step wins, random wins, advanced score, one step score, random score
game_12,game_12_level0, true,50.0,1,1,1,1.0,1.0,1.0
game_12,game_12_level1, true,50.0,1,1,1,1.0,1.0,1.0
game_12,game_12_level2, true,50.0,1,1,1,1.0,1.0,1.0
game_12,game_12_level3, true,50.0,1,1,1,1.0,1.0,1.0
game_12,game_12_level4, true,50.0,1,1,1,1.0,1.0,1.0
game_4,game_4_level0, true,2000.0,0,0,0,-3526.0,-7738.0,-3326.0
game_4,game_4_level1, true,2000.0,0,0,0,-3338.0,-11148.0,-11002.0
game_4,game_4_level2, true,2000.0,0,0,0,-7660.0,-5310.0,-2922.0
game_4,game_4_level3, true,2000.0,0,0,0,-2170.0,-13892.0,-10402.0
game_4,game_4_level4, true,2000.0,0,0,0,-1306.0,-12390.0,-3780.0
game_20,game_20_level0, false
game_20,game_20_level1, false
game_20,game_20_level2, false
game_20,game_20_level3, false
game_20,game_20_level4, false
game_11,game_11_level0, false
game_11,game_11_level1, false
game_11,game_11_level2, false
game_11,game_11_level3, false
game_11,game_11_level4, false
game_17,game_17_level0, false
game_17,game_17_level1, false
game_17,game_17_level2, false
game_17,game_17_level3, false
game_17,game_17_level4, false
game_13,game_13_level0, true,1166.0,0,0,0,0.0,0.0,0.0
game_13,game_13_level1, true,1772.0,0,0,0,0.0,0.0,0.0
game_13,game_13_level2, true,1520.0,0,0,0,0.0,0.0,0.0
game_13,game_13_level3, true,1080.0,0,0,0,0.0,0.0,0.0
game_13,game_13_level4, true,1823.0,0,0,0,0.0,0.0,0.0
game_5,game_5_level0, true,2000.0,0,0,0,0.0,0.0,0.0
game_5,game_5_level1, true,2000.0,0,0,0,0.0,0.0,0.0
game_5,game_5_level2, true,2000.0,0,0,0,0.0,0.0,0.0
game_5,game_5_level3, true,2000.0,0,0,0,0.0,0.0,0.0
game_5,game_5_level4, true,2000.0,0,0,0,0.0,0.0,0.0
game_24,game_24_level0, true,50.0,1,1,1,2.2,1.0,1.0
game_24,game_24_level1, true,50.0,1,1,1,1.0,1.0,1.0
game_24,game_24_level2, true,50.0,1,1,1,5.4,1.0,1.0
game_24,game_24_level3, true,50.0,1,1,1,1.0,1.0,1.0
game_24,game_24_level4, true,50.0,1,1,1,1.0,1.0,1.0
game_0,game_0_level0, true,2000.0,0,0,0,0.0,0.0,0.0
game_0,game_0_level1, true,2000.0,0,0,0,0.0,0.0,0.0
game_0,game_0_level2, true,2000.0,0,0,0,0.0,0.0,0.0
game_0,game_0_level3, true,2000.0,0,0,0,0.0,0.0,0.0
game_0,game_0_level4, true,2000.0,0,0,0,0.0,0.0,0.0
game_21,game_21_level0, false
game_21,game_21_level1, false
game_21,game_21_level2, false
game_21,game_21_level3, false
game_21,game_21_level4, false
game_9,game_9_level0, true,50.0,1,1,1,115.4,1.0,10.0
game_9,game_9_level1, true,50.0,1,1,1,1313.0,344.2,390.4
game_9,game_9_level2, true,50.0,1,1,1,409.6,419.2,194.0
game_9,game_9_level3, true,50.0,1,1,1,463.0,143.8,1.0
game_9,game_9_level4, true,50.0,1,1,1,142.8,90.4,16.4
game_6,game_6_level0, true,2000.0,0,0,0,59.0,56.0,37.0
game_6,game_6_level1, true,2000.0,0,0,0,60.0,57.0,53.0
game_6,game_6_level2, true,2000.0,0,0,0,49.0,48.0,44.0
game_6,game_6_level3, true,2000.0,0,0,0,65.0,58.0,53.0
game_6,game_6_level4, true,2000.0,0,0,0,77.0,73.0,68.0
game_19,game_19_level0, true,0.0,0,0,0,0.0,0.0,0.0
game_19,game_19_level1, true,0.0,0,0,0,0.0,0.0,0.0
game_19,game_19_level2, true,0.0,0,0,0,0.0,0.0,0.0
game_19,game_19_level3, true,0.0,0,0,0,0.0,0.0,0.0
game_19,game_19_level4, true,0.0,0,0,0,0.0,0.0,0.0
game_1,game_1_level0, true,50.0,1,1,1,1.0,1.0,1.0
game_1,game_1_level1, true,50.0,1,1,1,1.0,1.0,1.0
game_1,game_1_level2, true,50.0,1,1,1,1.0,1.0,1.0
game_1,game_1_level3, true,50.0,1,1,1,1.0,1.0,1.0
game_1,game_1_level4, true,18.0,1,1,1,1.0,1.0,1.0
game_2,game_2_level0, true,50.0,1,1,1,47.4,1.0,1.0
game_2,game_2_level1, true,50.0,1,1,1,46.4,1.0,1.0
game_2,game_2_level2, true,50.0,1,1,1,46.2,1.0,1.0
game_2,game_2_level3, true,50.0,1,1,1,48.8,1.0,1.2
game_2,game_2_level4, true,50.0,1,1,1,48.0,10.2,1.2
game_22,game_22_level0, false
game_22,game_22_level1, false
game_22,game_22_level2, false
game_22,game_22_level3, false
game_22,game_22_level4, false
game_15,game_15_level0, false
game_15,game_15_level1, true,50.0,1,1,1,1.0,1.0,1.0
game_15,game_15_level2, false
game_15,game_15_level3, false
game_15,game_15_level4, true,50.0,1,1,1,1.0,1.0,1.0
game_3,game_3_level0, true,2000.0,0,0,0,4000.0,3177.2,2296.8
game_3,game_3_level1, true,2000.0,0,0,0,4002.0,4002.0,799.6
game_3,game_3_level2, true,2000.0,0,0,0,3981.6,792.0,2290.0
game_3,game_3_level3, true,2000.0,0,0,0,3978.8,2333.6,1452.8
game_3,game_3_level4, true,2000.0,0,0,0,3994.0,1587.2,766.4
