trial, do nothing steps, advanced win, one-step win, random win, advanced score, one step scores, random score
0,2000.0,false,false,false,0.0,-18380.0,0.0
1,2000.0,false,false,false,0.0,-15700.0,-18640.0
2,2000.0,false,false,false,-10850.0,-17640.0,0.0
3,2000.0,false,false,false,0.0,-340.0,-16230.0
4,2000.0,false,false,false,0.0,-17400.0,-17140.0
