trial, do nothing steps, advanced win, one-step win, random win, advanced score, one step scores, random score
0,50.0,true,true,true,69.0,1.0,1.0
1,50.0,true,true,true,23.0,403.0,78.0
2,50.0,true,true,true,1.0,1.0,1.0
3,50.0,true,true,true,161.0,1.0,1.0
4,50.0,true,true,true,460.0,46.0,1.0
