trial, do nothing steps, advanced win, advanced score, one step scores, random score
0,2000.0,true,23.0,671.0,585.0
1,2000.0,true,20.0,668.0,595.0
2,2000.0,true,38.0,643.0,617.0
3,2000.0,true,28.0,666.0,594.0
4,2000.0,true,19.0,668.0,624.0
5,2000.0,true,20.0,667.0,621.0
6,2000.0,true,26.0,661.0,167.0
7,2000.0,true,18.0,658.0,570.0
8,2000.0,true,24.0,673.0,610.0
9,2000.0,true,30.0,675.0,604.0
