trial, do nothing steps, advanced win, advanced score, one step scores, random score
0,2000.0,false,24.0,24.0,-1.0
1,2000.0,false,24.0,27.0,4.0
2,2000.0,false,24.0,32.0,0.0
3,2000.0,false,24.0,32.0,0.0
4,2000.0,false,24.0,22.0,2.0
5,2000.0,false,24.0,27.0,32.0
6,2000.0,false,24.0,16.0,24.0
7,2000.0,false,24.0,29.0,7.0
8,2000.0,false,24.0,32.0,0.0
9,2000.0,false,24.0,30.0,5.0
