trial, do nothing steps, advanced win, advanced score, one step scores, random score
0,423.0,true,101.0,84.0,21.0
1,423.0,true,103.0,86.0,44.0
2,423.0,true,102.0,87.0,43.0
3,423.0,true,101.0,81.0,32.0
4,423.0,true,103.0,86.0,17.0
5,423.0,true,102.0,83.0,18.0
6,423.0,true,104.0,82.0,50.0
7,423.0,true,100.0,82.0,35.0
8,423.0,true,103.0,61.0,19.0
9,423.0,true,102.0,82.0,83.0
