Do Nothing Steps, Advanced Win Rate, Advanced Score, One Step Score, Random Score
2000.0,1,10.0,8.0,3.0
59.0,0,8.6,0.0,0.4
83.0,0,14.6,1.0,0.3
35.0,0,9.6,0.0,0.0
167.0,0,21.1,0.0,0.0
0.0,1,1.0,1.0,1.0
259.0,0,13.7,0.0,0.1
179.0,0,5.1,0.0,0.3
0.0,1,1.0,1.0,1.0
239.0,1,10.0,10.0,6.3
11.0,0,4.0,1.6,0.7
5.0,0,0.0,0.0,0.0
1415.0,0,5.5,2.8,0.1
2000.0,0,0.0,0.0,0.0
125.0,0,8.0,1.0,0.0
