Do Nothing Steps, Advanced Win Rate, Advanced Score, One Step Score, Random Score
1000.0,0,0.8,1.0,0.6
0.0,1,1.0,1.0,1.0
1000.0,0,0.0,-0.1,-1.0
0.0,1,1.0,1.0,0.8
1000.0,0,0.7,-0.2,-1.0
1000.0,0,0.0,0.0,-1.0
1000.0,0,1.0,0.6,1.0
1000.0,0,0.0,0.0,-1.0
0.0,1,1.0,1.0,0.2
1000.0,1,1.0,0.7,-0.7
1000.0,0,0.0,-0.5,-1.0
0.0,1,1.0,1.0,0.4
1000.0,1,1.0,-0.1,-1.0
1000.0,0,1.8,0.0,-0.3
1000.0,0,0.0,-0.4,-1.0
