Do Nothing Steps, Advanced Win Rate, Advanced Score, One Step Score, Random Score
236.0,1,134.8,107.3,34.4
214.0,1,97.7,70.6,48.3
0.0,1,1.0,1.0,1.0
587.0,1,61.1,48.4,40.1
141.0,1,64.2,51.4,48.7
749.0,1,67.4,53.0,47.1
0.0,1,1.0,1.0,1.0
474.0,1,68.1,35.9,39.7
0.0,1,1.0,1.0,1.0
271.0,1,134.9,108.8,50.1
141.0,1,49.7,43.2,36.1
0.0,1,1.0,1.0,1.0
0.0,1,1.0,1.0,1.0
261.0,1,98.0,86.5,41.9
0.0,1,1.0,1.0,1.0
