trial, do nothing steps, advanced win, advanced score, one step scores, random score
0,0.0,true,1.0,1.0,1.0
1,0.0,true,1.0,1.0,-1.0
2,0.0,true,1.0,1.0,1.0
3,0.0,true,1.0,1.0,1.0
4,0.0,true,1.0,1.0,1.0
5,0.0,true,1.0,1.0,1.0
6,0.0,true,1.0,1.0,1.0
7,0.0,true,1.0,1.0,1.0
8,0.0,true,1.0,1.0,1.0
9,0.0,true,1.0,1.0,1.0
